trade_date,code,name,lb_num,first_limit_time,last_limit_time,open_times,seal_amount,turnover,amount,industry
20260907,603355,莱克电气,1,09:42,10:02,1,52761423.0,1.0753735303878784,183127697.0,小家电
20260907,600400,红豆股份,1,09:42,09:42,0,55320552.0,2.7163257598876953,190737079.0,服装家纺
20260907,002852,道道全,1,09:43,09:43,0,122415330.0,5.43849515914917,141894798.0,农产品加
20260907,000759,中百集团,1,09:44,10:01,4,54912200.0,19.05183982849121,857306704.0,一般零售
20260907,600280,中央商场,1,09:44,09:44,0,41393583.0,3.5181844234466553,132823251.0,一般零售
20260907,603119,浙江荣泰,1,09:45,10:03,2,92054400.0,2.6655185222625732,641019312.0,汽车零部
20260907,000428,华天酒店,2,09:46,09:46,0,43375992.0,10.144680976867676,517332416.0,酒店餐饮
20260907,601595,上海电影,1,09:50,09:50,0,55469118.0,4.567811489105225,407571744.0,影视院线
20260907,000978,桂林旅游,1,09:52,10:34,5,35874384.0,12.660618782043457,422379248.0,旅游及景
20260907,688001,华兴源创,1,09:52,10:38,6,19984286.0,4.096114635467529,1092143568.0,通用设备
20260907,002436,兴森科技,1,09:53,09:53,0,258955383.0,7.24257230758667,3954318624.0,元件
20260907,002708,光洋股份,1,09:53,10:09,1,84685440.0,11.164031028747559,932054976.0,汽车零部
20260907,002483,润邦股份,1,09:54,10:45,7,43947836.0,5.504039764404297,288188832.0,专用设备
20260907,603926,铁流股份,1,09:55,10:08,1,25505305.0,4.724745750427246,200340368.0,汽车零部
20260907,603228,景旺电子,1,09:58,10:32,6,176514652.0,5.146159648895264,5269098240.0,元件
20260907,000816,智慧农业,1,09:58,09:58,1,24495159.0,7.886569976806641,364425744.0,汽车零部
20260907,603395,红四方,1,10:02,10:14,1,35486107.0,29.063159942626953,548068272.0,农化制品
20260907,301550,斯菱智驱,1,10:04,10:05,1,61872328.0,8.123709678649902,1588661872.0,汽车零部
20260907,002403,爱仕达,3,10:07,10:07,0,93805949.0,13.469894409179688,473560160.0,小家电
20260907,603009,北特科技,1,10:09,10:09,0,75244320.0,4.114304065704346,682690384.0,汽车零部
20260907,603311,金海高科,1,10:13,10:13,0,34571427.0,1.9911489486694336,133892709.0,家电零部
20260907,002916,深南电路,1,10:14,10:35,3,203611392.0,1.3900041580200195,3314184032.0,元件
20260907,603186,华正新材,1,10:15,11:04,4,137501901.0,13.07883358001709,3716928464.0,元件
20260907,603124,江南新材,1,10:15,14:53,5,58667562.0,12.731863975524902,1267317216.0,金属新材
20260907,600103,青山纸业,1,10:16,11:06,4,113986818.0,22.27280044555664,1875462400.0,造纸
20260907,002980,华盛昌,1,10:17,10:22,1,125615884.0,11.063730239868164,1284638528.0,电网设备
20260907,002011,盾安环境,1,10:18,11:29,6,33246368.0,7.8355841636657715,976147552.0,家电零部
20260907,002515,金字火腿,1,10:26,14:17,5,42428727.0,15.767118453979492,1385520768.0,食品加工
20260907,603286,日盈电子,1,10:31,10:31,0,50978304.0,5.736274719238281,307505984.0,汽车零部
20260907,603628,清源股份,1,10:32,10:46,1,18847524.0,6.682899475097656,193102668.0,光伏设备
20260907,603042,华脉科技,1,10:33,10:33,0,43047971.0,5.341314792633057,166435009.0,通信设备
20260907,001267,汇绿生态,1,10:36,11:24,1,71307691.0,6.7009758949279785,1544601456.0,通信设备
20260907,920821,则成电子,1,10:37,13:23,2,10179438.0,20.520875930786133,329178048.0,元件
20260907,300112,万讯自控,1,10:40,10:40,0,85990940.0,15.799373626708984,388699664.0,通用设备
20260907,603679,华体科技,1,10:42,15:00,7,14024300.0,7.189168930053711,297958912.0,光学光电
20260907,001229,魅视科技,1,10:43,10:43,0,77972077.0,6.537440299987793,181330785.0,计算机设
20260907,605168,三人行,1,10:52,11:13,1,60116797.0,4.581240177154541,491569952.0,广告营销
20260907,002470,金正大,1,10:54,11:16,1,35103970.0,10.754615783691406,790310928.0,农化制品
20260907,600540,新赛股份,1,10:54,13:49,13,18945931.0,31.838756561279297,1194789392.0,种植业
20260907,600785,新华百货,1,10:55,13:06,6,30930662.0,23.642011642456055,905511072.0,一般零售
20260907,002172,澳洋健康,1,11:03,11:03,0,34126341.0,16.043054580688477,544855968.0,医疗服务
20260907,002902,铭普光磁,1,11:08,11:08,0,95828607.0,9.33519172668457,458622496.0,通信设备
20260907,002972,科安达,1,11:17,13:23,4,36460382.0,10.546323776245117,196453371.0,轨交设备
20260907,605488,福莱新材,1,11:17,11:26,1,32142895.0,3.97926664352417,344653904.0,塑料
20260907,603608,天创时尚,1,11:19,11:22,1,49631006.0,5.118377685546875,485555344.0,服装家纺
20260907,002975,博杰股份,1,11:20,11:22,1,52283815.0,11.897062301635742,1680311664.0,自动化设
20260907,603936,博敏电子,1,11:22,13:58,1,21275140.0,8.113296508789062,875514368.0,元件
20260907,002957,科瑞技术,1,11:29,11:29,0,45482293.0,4.825397968292236,805040608.0,自动化设
20260907,002484,江海股份,1,13:00,14:03,3,70592025.0,7.391320705413818,3662851552.0,元件
20260907,002815,崇达技术,1,13:04,14:51,2,2431919.0,10.98912525177002,1334323632.0,元件
20260907,603192,汇得科技,1,13:07,13:07,0,27843215.0,2.7034807205200195,90171163.0,化学制品
20260907,600770,综艺股份,1,13:08,13:08,0,124875306.0,3.2315609455108643,225266753.0,综合Ⅱ
20260907,002281,光迅科技,1,13:18,14:10,1,246175215.0,5.445681095123291,7691316736.0,通信设备
20260907,002138,顺络电子,1,13:18,14:00,9,70091868.0,5.484105587005615,2008762624.0,元件
20260907,603668,天马科技,1,13:25,15:00,21,1456451.0,5.844250679016113,375507856.0,饲料
20260907,600345,长江通信,1,13:25,13:26,1,24584625.0,7.264745712280273,761110336.0,通信设备
20260907,002988,豪美新材,1,13:29,14:20,3,3665298.0,6.211535930633545,431417376.0,工业金属
20260907,301516,中远通,1,13:31,13:31,0,37896006.0,42.203147888183594,539352640.0,其他电源
20260907,002463,沪电股份,1,13:31,14:25,7,179040790.0,4.165695667266846,9613926400.0,元件
20260907,002290,禾盛新材,1,13:33,14:38,2,29649385.0,4.901206970214844,802481824.0,家电零部
20260907,600857,宁波中百,1,13:34,13:36,1,28526422.0,8.3148193359375,410465760.0,一般零售
20260907,688813,泰金新能,1,13:42,14:21,10,26948015.0,28.903514862060547,1010064928.0,专用设备
20260907,603999,读者传媒,1,13:47,13:47,0,80040675.0,3.922304391860962,144016950.0,出版
20260907,601949,中国出版,2,13:56,13:56,0,41832301.0,6.805038928985596,794651248.0,出版
20260907,001330,博纳影业,1,14:03,14:03,0,63619189.0,19.115877151489258,1353107680.0,影视院线
20260907,001389,广合科技,1,14:13,14:13,0,52964629.0,5.720675945281982,1421436896.0,元件
20260907,600371,万向德农,1,14:37,14:37,0,41870216.0,28.5697078704834,1222131040.0,种植业
