trade_date,code,name,seat_code,seat_name,seat_abbr,act_buy,act_sell,net_amt,reason,change_rate
20260911,000759,中百集团,10456753,国泰海通证券股份有限公司湛江万豪世家证券营业部,国泰海通证券湛江万豪世家证券营业部,38311818.0,392253.0,37919565.0,日振幅值达到15%的前5只证券,-6.4442
20260911,000759,中百集团,10456753,国泰海通证券股份有限公司湛江万豪世家证券营业部,国泰海通证券湛江万豪世家证券营业部,38311818.0,392253.0,37919565.0,日换手率达到20%的前5只证券,-6.4442
20260911,600479,千金药业,10281327,东方财富证券股份有限公司山南香曲东路证券营业部,东方财富证券山南香曲东路证券营业部,36847977.6,,36847977.6,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,-9.9921
20260911,600479,千金药业,10484371,东方财富证券股份有限公司拉萨团结路第一证券营业部,东方财富证券拉萨团结路第一证券营业部,36453583.0,,36453583.0,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,-9.9921
20260911,603386,骏亚科技,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,35230984.0,,35230984.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0267
20260911,603466,风语筑,10025054,国泰海通证券股份有限公司南京太平南路证券营业部,国泰海通证券南京太平南路证券营业部,34315482.0,,34315482.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0332
20260911,000759,中百集团,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,34732894.0,452355.0,34280539.0,日振幅值达到15%的前5只证券,-6.4442
20260911,000759,中百集团,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,34732894.0,452355.0,34280539.0,日换手率达到20%的前5只证券,-6.4442
20260911,000980,众泰汽车,10025054,国泰海通证券股份有限公司南京太平南路证券营业部,国泰海通证券南京太平南路证券营业部,34119720.0,99565.0,34020155.0,日涨幅偏离值达到7%的前5只证券,9.8446
20260911,000980,众泰汽车,10028577,东吴证券股份有限公司苏州西北街证券营业部,东吴证券苏州西北街证券营业部,33818915.0,261345.0,33557570.0,日涨幅偏离值达到7%的前5只证券,9.8446
20260911,688260,昀冢科技,10004865,国泰海通证券股份有限公司,国泰海通,48681020.93,15241039.13,33439981.8,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,18.6825
20260911,603336,宏辉果蔬,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,33320173.4,,33320173.4,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0327
20260911,603466,风语筑,10124373,中信证券股份有限公司东阳吴宁西路证券营业部,中信证券东阳吴宁西路证券营业部,33253978.17,,33253978.17,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0332
20260911,603042,华脉科技,10000399618,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,高盛(中国)证券上海浦东新区世纪大道证券营业部,56598324.2,24311327.3,32286996.9,有价格涨跌幅限制的日换手率达到20%的前五只证券,-1.369
20260911,603042,华脉科技,10000399618,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,高盛(中国)证券上海浦东新区世纪大道证券营业部,56598324.2,24311327.3,32286996.9,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,-1.369
20260911,603336,宏辉果蔬,10134445,国泰海通证券股份有限公司上海松江区中山东路证券营业部,国泰海通证券上海松江区中山东路证券营业部,31290099.0,,31290099.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0327
20260911,600359,新农开发,10201214,国泰海通证券股份有限公司上海分公司,国泰海通证券上海分公司,30906420.0,,30906420.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,0.8299
20260911,600127,金健米业,10000213448,国信证券股份有限公司浙江互联网分公司,国信证券浙江互联网分公司,29990140.96,,29990140.96,有价格涨跌幅限制的日换手率达到20%的前五只证券,-3.2143
20260911,600354,敦煌种业,10000104821,国金证券股份有限公司深圳分公司,国金证券深圳分公司,29875694.62,,29875694.62,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,-4.1921
20260911,600354,敦煌种业,10000104821,国金证券股份有限公司深圳分公司,国金证券深圳分公司,29875694.62,,29875694.62,有价格涨跌幅限制的日换手率达到20%的前五只证券,-4.1921
20260911,600354,敦煌种业,10135341,中信证券股份有限公司上海分公司,中信证券上海分公司,28998952.62,,28998952.62,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,-4.1921
